Request_ID,School_ID,Request_Date,Category,Status,Amount,Status_Date,School_Name
REQ1056,2032,2022-01-09,Sports Equipment,Declined,10000,2022-01-14,Riverview High
REQ1059,2032,2022-01-08,Maintenance,Declined,50000,2022-01-16,Riverview High
REQ1072,2069,2022-01-22,Sports Equipment,Declined,100000,2022-02-01,Goldenview Academy
REQ1014,2051,2022-01-29,STEM Lab,Declined,100000,2022-02-04,Silverbank Public
REQ1000,2025,2022-02-03,STEM Lab,Declined,250000,2022-02-13,Pacificfield Tech
REQ1090,2101,2022-02-20,Maintenance,Pending,15000,2022-02-22,Sunnyfield Public
REQ1012,2081,2022-02-25,Sports Equipment,Pending,100000,2022-03-06,Silverside Public
REQ1044,2055,2022-03-01,Maintenance,Approved,250000,2022-03-07,Pacificview Grammar
REQ1076,2071,2022-03-06,Sports Equipment,Declined,10000,2022-03-08,Pacificfield College
REQ1092,2012,2022-03-23,Sports Equipment,Pending,250000,2022-03-31,Forestview High
REQ1052,2036,2022-03-21,Maintenance,Approved,15000,2022-04-06,Meadowbank Secondary
REQ1096,2102,2022-04-05,Maintenance,Approved,5000,2022-04-10,Centralbank Tech
REQ1063,2012,2022-04-29,Capital Works,Approved,100000,2022-05-04,Forestview High
REQ1074,2115,2022-04-21,Capital Works,Approved,100000,2022-05-08,Southfield Tech
REQ1081,2040,2022-05-17,Capital Works,Pending,100000,2022-05-18,Sunnybank Primary
REQ1002,2025,2022-05-18,STEM Lab,Declined,50000,2022-05-23,Pacificfield Tech
REQ1001,2066,2022-05-25,Capital Works,Pending,100000,2022-05-29,Lakewood Public
REQ1007,2041,2022-05-21,Sports Equipment,Approved,250000,2022-05-30,Forestwood College
REQ1079,2083,2022-06-11,STEM Lab,Submitted,50000,2022-06-19,Valleybank Primary
REQ1099,2109,2022-06-13,Capital Works,Approved,89118,2022-06-30,Forestview Grammar
REQ1030,2043,2022-07-09,Maintenance,Declined,10000,2022-07-10,Riverside Public
REQ1040,2053,2022-07-16,STEM Lab,Approved,5000,2022-07-21,Citybank Tech
REQ1068,2059,2022-07-15,Capital Works,Approved,100000,2022-07-27,Riverview Public
REQ1038,2058,2022-08-13,Sports Equipment,Approved,100000,2022-08-22,Hillsside High
REQ1095,2025,2022-08-22,Capital Works,Submitted,121667,2022-08-24,Pacificfield Tech
REQ1045,2069,2022-08-29,IT Upgrade,Approved,15000,2022-09-02,Goldenview Academy
REQ1032,2012,2022-08-25,Maintenance,Submitted,15000,2022-09-03,Forestview High
REQ1053,2020,2022-09-03,Maintenance,Approved,5000,2022-09-07,Redside Public
REQ1050,2033,2022-09-07,Sports Equipment,Pending,50000,2022-09-14,Valleyside Secondary
